,0,1,2,3,4,5,6,7,8,9,10,11
33,14.0,67.36666666666666,333.0,80.92394534883721,86.0,0.0,50.0,18.0,30.0,43.0,0.0,192.0
34,11.0,67.33333333333333,248.0,80.59305217391305,69.0,1.0,45.0,19.0,18.0,9.0,8.0,148.0
35,28.0,65.82758620689656,393.0,275.06000370370344,54.0,1.0,138.0,63.0,28.0,22.0,20.0,121.0
36,11.0,68.70833333333333,63.0,13.289177272727272,22.0,0.0,0.0,17.0,9.0,4.0,6.0,27.0
37,1.0,75.0,1.0,0.3693,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,7.0,66.625,73.0,21.56406666666666,27.0,0.0,0.0,0.0,9.0,4.0,7.0,53.0
39,11.0,67.45833333333333,391.0,113.23306538461536,78.0,0.0,54.0,35.0,27.0,53.0,29.0,193.0
40,15.0,65.625,351.0,121.70355555555545,81.0,0.0,52.0,78.0,22.0,25.0,31.0,143.0
41,5.0,66.83333333333333,135.0,40.201413043478276,23.0,0.0,0.0,20.0,18.0,43.0,13.0,41.0
42,6.0,66.57142857142857,286.0,101.19632333333332,30.0,65.0,70.0,44.0,20.0,72.0,0.0,15.0
43,10.0,67.72727272727273,279.0,69.54240156249996,64.0,0.0,26.0,0.0,12.0,47.0,19.0,175.0
44,17.0,65.66666666666667,333.0,123.04201797752799,89.0,0.0,53.0,43.0,36.0,25.0,36.0,140.0
45,4.0,66.7,112.0,34.06195714285712,42.0,0.0,18.0,0.0,8.0,25.0,18.0,43.0
46,7.0,67.4375,357.0,125.25644242424242,33.0,65.0,127.0,29.0,42.0,53.0,22.0,19.0
47,13.0,66.89285714285714,393.0,126.0540919999999,75.0,0.0,76.0,35.0,12.0,55.0,29.0,186.0
48,8.0,67.16666666666667,210.0,53.44357105263156,38.0,0.0,1.0,20.0,30.0,52.0,32.0,75.0
49,1.0,70.0,48.0,15.48638181818182,11.0,0.0,5.0,9.0,13.0,15.0,1.0,5.0
50,18.0,66.07894736842105,409.0,130.7319954022988,87.0,0.0,53.0,78.0,36.0,29.0,31.0,182.0
51,15.0,65.625,361.0,120.7978120481927,83.0,0.0,52.0,78.0,31.0,25.0,31.0,144.0
52,0.0,70.0,37.0,31.049433333333337,6.0,0.0,29.0,4.0,0.0,0.0,2.0,2.0
53,9.0,67.3,93.0,19.680326470588223,34.0,0.0,0.0,0.0,14.0,12.0,14.0,53.0
