0,1,2,3,4,5,6,7,8,9,10,11
21,66.31818182,376,713.0014511,47,98,73,50,0,0,44,111
17,71,192,40.53021429,42,0,27,1,16,11,12,125
44,66.38888889,378,149.1519417,72,0,0,116,1,0,57,204
40,66.01219512,444,771.468636,50,98,73,93,9,0,43,128
24,66.2,387,728.4985065,46,98,73,50,9,0,43,114
44,66.73333333,416,173.978213,69,0,0,156,1,0,46,213
31,66.375,112,21.26708824,34,0,0,0,1,0,18,93
9,66.45,121,46.91405,28,0,1,40,11,8,18,43
5,72.41666667,3,1.9923,1,0,0,3,0,0,0,0
27,68.64285714,394,90.992,88,0,1,63,30,19,30,251
42,65.88372093,797,165.4646103,145,0,2,148,73,36,69,469
45,65.82608696,829,194.3133782,142,0,2,206,73,37,68,443
18,66.23684211,391,297.3796827,81,0,96,34,70,5,0,186
33,65.83823529,592,325.4377459,109,0,186,34,66,2,0,304
42,65.77906977,829,191.1441568,146,0,2,206,74,37,55,455
39,65.85,811,196.3836496,139,0,2,206,73,37,57,436
45,65.75,796,192.6601951,143,0,2,206,74,37,41,436
48,65.89795918,734,304.2958566,129,0,97,120,110,18,15,374
44,65.68888889,889,409.0239198,131,0,187,178,110,18,15,381
3,70.875,17,25.90773333,3,0,14,0,0,0,3,0
45,65.66304348,803,299.2886162,136,0,97,144,110,18,15,419
30,65.87096774,456,256.6966417,96,0,96,34,66,1,0,259
41,65.6547619,813,388.2468336,125,0,187,144,82,19,15,366
17,65.88888889,667,1108.849257,56,139,179,118,28,22,40,141
17,66.83333333,433,521.87224,65,0,186,34,65,0,0,148
38,65.47435897,948,874.5998732,97,139,276,144,62,39,14,274
29,65.61666667,794,922.0021469,81,139,275,58,64,22,29,207
33,65.83823529,590,325.2558156,109,0,186,34,66,2,0,302
6,70.85714286,14,19.9231,1,0,14,0,0,0,0,0
10,71.04545455,75,159.5765,3,58,14,3,0,0,0,0
6,72.35714286,17,10.9577,2,0,14,3,0,0,0,0
16,66.64705882,254,48.4252375,64,0,0,1,37,1,22,193
17,70.41666667,187,42.33433158,19,0,67,39,68,0,0,13
16,66.64705882,254,48.4252375,64,0,0,1,37,1,22,193
8,71.72222222,72,238.3686,2,58,14,0,0,0,0,0
8,71.72222222,72,238.3686,2,58,14,0,0,0,0,0
8,71.72222222,72,238.3686,2,58,14,0,0,0,0,0
5,72.41666667,3,1.9923,1,0,0,3,0,0,0,0
0,75,0,,0,0,0,0,0,0,0,0
5,72.41666667,3,1.9923,1,0,0,3,0,0,0,0
11,67.33333333,126,696.2112955,22,0,64,23,10,8,1,20
27,65.78571429,495,105.5289702,94,0,1,103,29,17,43,302
15,72.625,141,38.26782727,11,0,47,63,28,0,3,0
3,69.25,97,42.78130714,14,0,45,0,7,16,14,15
11,72.66666667,120,40.35211111,9,0,47,60,10,0,3,0
28,66.44827586,513,102.9113439,98,0,1,103,29,17,43,320
13,69.82142857,110,19.29058,15,0,16,36,44,0,1,13
11,72.66666667,120,40.35211111,9,0,47,60,10,0,3,0
36,66.08108108,682,158.1573217,129,0,2,188,29,36,43,384
5,72.41666667,51,25.031925,8,0,9,4,36,0,0,2
19,70.375,187,42.33433158,19,0,67,39,68,0,0,13
15,72.625,135,36.45662727,11,0,47,48,37,0,3,0
0,75,0,,0,0,0,0,0,0,0,0
11,72.66666667,120,40.35211111,9,0,47,60,10,0,3,0
19,70.375,187,42.33433158,19,0,67,39,68,0,0,13
0,75,11,10.0079,2,0,0,10,0,0,1,0
10,73.22727273,100,37.14538889,9,0,47,14,37,0,0,2
17,70.30555556,173,43.37823333,18,0,67,28,67,0,0,11
19,70.375,187,42.33433158,19,0,67,39,68,0,0,13
20,70.5952381,211,45.824495,20,0,91,39,68,0,0,13
27,66.55357143,418,81.94476042,96,0,0,0,81,18,37,282
16,70.44117647,198,39.25562381,21,0,67,49,68,0,1,13
18,70.36842105,162,30.04001176,17,0,42,42,68,0,0,10
17,70.30555556,192,42.20993,20,0,67,39,67,6,0,13
19,70.375,187,42.33433158,19,0,67,39,68,0,0,13
20,70.5952381,211,45.824495,20,0,91,39,68,0,0,13
19,70.375,187,42.33433158,19,0,67,39,68,0,0,13
25,69.34615385,468,84.80558155,103,0,1,1,109,19,41,297
20,70.5952381,211,45.824495,20,0,91,39,68,0,0,13
29,66.08333333,378,80.20864348,92,0,0,0,65,17,26,270
19,70.375,187,42.33433158,19,0,67,39,68,0,0,13
32,65.95454545,365,75.55655326,92,0,0,0,65,1,26,273
15,69.84375,144,28.845225,16,0,40,39,52,0,0,13
33,66.02941176,634,114.7358286,133,0,2,63,95,35,56,383
35,66.02777778,773,171.3851652,141,0,2,148,94,36,56,437
19,70.6,162,30.04001176,17,0,42,42,68,0,0,10
24,65.58,339,120.8544432,74,0,1,0,90,0,15,233
28,66.05172414,362,100.2347532,77,0,0,0,82,17,37,226
45,65.79347826,547,83.58179,130,0,2,1,93,18,28,405
24,65.58,341,119.31814,75,0,1,0,90,0,15,235
35,66.06944444,478,81.80526609,115,0,1,1,65,34,38,339
18,65.63157895,230,46.20105152,66,0,0,0,18,16,15,181
17,65.63888889,194,41.95226333,60,0,0,0,18,16,15,145
28,66.12068966,400,85.55134211,95,0,0,0,82,18,37,263
31,66.140625,554,78.39359769,130,0,1,1,95,18,52,387
31,66.09375,410,79.08195253,99,0,0,0,65,18,37,290
24,65.6,364,97.99797436,78,0,0,0,81,16,26,241
27,66.125,404,84.86779479,96,0,0,0,82,18,37,267
29,66,553,270.563162,79,0,161,45,82,17,37,211
4,68.5,75,45.50997,20,0,0,15,4,11,9,36
23,65.64583333,374,100.5105734,79,0,0,0,82,17,36,239
14,66.43333333,419,326.5298118,51,0,161,45,50,27,10,126
33,66,381,79.13792128,94,0,0,0,65,18,27,271
28,66.48275862,103,57.75010345,29,0,18,15,11,39,8,12
41,65.86904762,473,75.67273193,119,0,1,1,65,18,27,361
12,66.30769231,358,379.1930439,41,1,161,45,15,27,19,90
1,75,38,15.531325,4,1,24,13,0,0,0,0
25,66.73076923,72,75.67165789,19,0,18,20,9,14,5,6
28,66.56896552,78,46.2593087,23,0,30,0,11,20,7,10
17,67,46,45.67469333,15,0,1,15,4,6,5,15
19,67.525,44,18.95844286,14,0,13,5,9,8,5,4
3,70.875,17,25.90773333,3,0,14,0,0,0,3,0
10,66.36363636,392,342.6316771,48,0,161,60,32,27,9,103
1,75,38,15.531325,4,1,24,13,0,0,0,0
11,65.79166667,366,377.783531,42,1,161,60,15,27,12,90
29,66.5,103,57.75010345,29,0,18,15,11,39,8,12
30,66.41935484,82,40.89603333,27,0,18,0,15,32,5,12
27,65.91071429,118,53.38347647,34,1,18,15,11,39,8,26
28,66.56896552,78,46.2593087,23,0,30,0,11,20,7,10
14,65.96666667,126,48.67619,30,1,0,15,20,29,18,43
24,66.72,68,55.43634444,18,0,30,5,9,14,5,5
30,66.5483871,78,64.4173913,23,0,18,15,9,23,5,8
25,66.05769231,118,53.38347647,34,1,18,15,16,39,11,18
22,66.76086957,93,44.52458077,26,0,32,0,11,34,5,11
27,66.46428571,103,57.75010345,29,0,18,15,11,39,8,12
31,66.46875,111,53.25956061,33,1,18,15,11,39,8,19
32,66.59090909,111,53.25956061,33,1,18,15,11,39,8,19
31,66.546875,85,61.734468,25,0,18,15,15,23,5,9
27,66.07142857,112,51.74274706,34,1,18,15,11,39,8,20
27,66.46428571,103,57.75010345,29,0,18,15,11,39,8,12
15,66.59375,419,311.7079667,54,0,161,45,37,16,22,138
27,66.46428571,103,57.75010345,29,0,18,15,11,39,8,12
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
30,66.41935484,82,40.89603333,27,0,18,0,15,32,5,12
36,66.51351351,105,59.11157586,29,0,18,15,15,30,8,19
13,71.42857143,125,27.92266667,9,30,71,24,0,0,0,0
0,70,13,219.9701,1,13,0,0,0,0,0,0
0,70,0,,0,0,0,0,0,0,0,0
0,75,0,,0,0,0,0,0,0,0,0
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
13,71.42857143,112,33.28728571,7,30,71,11,0,0,0,0
13,71.42857143,112,33.28728571,7,30,71,11,0,0,0,0
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
0,75,0,,0,0,0,0,0,0,0,0
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
44,66.35555556,526,623.1208254,67,98,73,116,1,0,67,171
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
6,72.07142857,51,25.031925,8,0,9,4,36,0,0,2
46,66.18085106,428,168.8477595,74,0,0,116,29,21,65,197
2,67.33333333,48,26.06462222,9,0,12,0,7,16,7,6
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
30,65.67741935,496,778.2266308,52,98,73,93,28,21,54,129
48,66.06122449,762,304.2130757,103,0,1,322,30,56,27,326
45,66.23913043,575,242.3435714,84,0,0,276,1,18,27,253
44,66.25555556,558,629.4593515,68,98,73,149,1,0,67,170
44,66.3,379,152.4315971,70,0,0,116,1,0,46,216
47,66.17708333,426,168.7443378,74,0,0,116,29,21,65,195
26,66.22222222,452,762.8001216,51,98,73,110,0,0,54,117
43,66.36363636,358,154.6817809,68,0,0,116,1,0,46,195
45,66.23913043,510,526.9056718,71,98,0,116,29,21,60,186
11,66.91666667,312,1323.660676,25,98,73,80,0,0,20,41
40,65.65853659,451,719.4419352,54,98,73,93,1,0,55,131
29,65.68333333,496,778.2266308,52,98,73,93,28,21,54,129
37,66.90789474,340,98.64711364,66,0,0,96,1,0,27,216
42,66.76744186,393,187.7466016,63,0,0,156,1,0,37,199
41,66,463,683.3591649,57,98,73,93,1,0,55,143
20,66.45238095,693,929.9169537,67,139,179,118,29,22,32,174
45,66.33695652,354,155.1581224,67,0,0,116,1,0,40,197
41,66.85714286,315,185.5225491,55,0,0,116,1,0,33,165
45,66.22826087,372,155.3374957,69,0,0,116,1,0,57,198
38,66.01282051,771,1198.962482,67,237,162,93,29,21,62,167
39,66.3625,444,146.8458636,77,0,0,158,1,18,41,226
46,66.22340426,584,612.9102648,71,98,73,116,29,21,60,187
39,66.8375,336,98.37543485,66,0,0,96,1,0,27,212
11,66.91666667,312,1323.660676,25,98,73,80,0,0,20,41
27,66.23214286,523,146.7998753,89,0,1,158,29,17,55,263
48,66.18367347,425,168.8477595,74,0,0,116,29,21,66,193
39,66.3625,438,143.5053244,78,0,0,158,1,18,27,234
42,66.91860465,311,188.5892056,54,0,0,116,1,0,33,161
42,66.8372093,325,173.6324576,59,0,0,116,1,0,33,175
11,66.91666667,312,1323.660676,25,98,73,80,0,0,20,41
44,66.35555556,526,623.1208254,67,98,73,116,1,0,67,171
45,66.26086957,525,656.8492694,62,98,73,93,29,21,55,156
31,66.140625,583,134.1755683,104,0,1,159,29,18,55,321
45,66.22826087,373,153.13141,70,0,0,116,1,0,57,199
42,66.8372093,319,179.0543175,57,0,0,116,1,0,33,169
30,66.4516129,811,770.4916092,87,139,180,143,29,23,27,270
24,65.64,680,1109.869123,56,139,179,118,28,22,58,136
41,66,465,671.5820241,58,98,73,93,1,0,55,145
43,66.77272727,399,182.3120954,65,0,0,156,1,0,37,205
39,66,768,1198.66943,67,237,162,93,29,21,62,164
29,66.23333333,540,142.5210602,93,0,1,158,29,18,55,279
38,66.61538462,781,246.3930212,113,0,2,302,30,35,56,356
38,66.61538462,692,226.876526,104,0,2,244,29,34,55,328
19,66.05,421,124.4946882,93,0,53,78,36,36,31,187
21,65.75,336,331.9748233,43,1,137,63,12,22,14,87
9,68.05,85,52.03843913,23,0,1,21,16,4,10,33
14,65.83333333,504,1711.429712,34,163,180,20,34,0,6,101
12,67.23076923,371,84.21694592,98,1,69,19,18,34,18,212
18,65.78947368,609,1215.476073,49,163,181,64,51,8,6,136
10,66.86363636,157,105.9126714,42,27,18,16,22,23,12,39
18,66.18421053,466,1217.778849,43,163,103,20,34,20,6,120
7,67.625,90,54.80503333,21,0,0,15,19,11,9,36
8,68.38888889,162,113.0761812,48,38,0,12,0,12,14,86
42,66.8372093,324,176.6198276,58,0,0,116,1,0,33,174
18,66.89473684,355,771.3332233,43,98,73,50,0,0,31,103
6,67.5,93,44.80613889,18,0,0,56,0,0,7,30
22,66.15217391,380,712.1774617,47,98,73,50,0,0,43,116
16,67.20588235,187,61.59469811,53,0,1,23,13,11,10,129
27,65.78571429,506,104.3681135,96,0,1,103,29,17,43,313
6,67.5,93,44.80613889,18,0,0,56,0,0,7,30
25,66.82692308,688,1075.187543,58,139,179,118,29,22,49,152
6,69.78571429,204,1368.083,7,171,23,0,0,7,3,0
5,71.5,28,10.47293333,6,0,23,0,0,2,3,0
19,66.05,438,121.4178093,97,0,53,78,36,36,31,204
12,66.57692308,363,369.7104786,42,0,161,45,15,27,19,96
14,65.96666667,126,48.67619,30,1,0,15,20,29,18,43
42,65.88372093,790,166.2539396,144,0,2,148,73,36,69,462
42,65.89534884,789,169.6619154,143,0,2,148,93,36,56,454
19,67.525,36,18.72773,10,0,12,5,9,5,2,3
45,65.68478261,812,159.7542564,156,0,2,148,95,37,56,474
39,65.8125,803,198.1000783,138,0,2,206,73,37,57,428
15,65.875,712,1139.602286,63,139,274,58,29,22,29,161
10,71.04545455,75,159.5765,3,58,14,3,0,0,0,0
0,75,0,,0,0,0,0,0,0,0,0
41,65.67857143,780,300.5669515,132,0,98,144,107,19,16,396
50,65.61764706,800,243.0918483,151,0,98,86,108,19,27,462
8,71.72222222,72,238.3686,2,58,14,0,0,0,0,0
39,65.85,811,196.3836496,139,0,2,206,73,37,57,436
6,70.85714286,14,19.9231,1,0,14,0,0,0,0,0
42,65.77906977,815,189.9185089,146,0,2,206,74,37,55,441
34,66.07142857,718,175.5667454,130,0,2,148,73,36,41,418
15,71.90625,152,39.48513077,13,0,47,42,62,0,0,1
26,66.59259259,422,83.62628526,95,0,0,0,81,18,37,286
12,72.84615385,120,40.35211111,9,0,47,60,10,0,3,0
36,66.09459459,713,179.1111015,130,0,2,148,94,36,41,392
3,71.125,53,89.6601875,8,0,37,5,9,0,0,2
16,70.20588235,178,40.593955,20,0,67,24,65,6,0,16
3,71.125,53,89.6601875,8,0,37,5,9,0,0,2
17,70.30555556,186,43.38292105,19,0,67,39,67,0,0,13
0,75,0,,0,0,0,0,0,0,0,0
12,66.57692308,363,369.7104786,42,0,161,45,15,27,19,96
19,65.75,140,63.69364545,33,1,17,15,26,31,18,32
6,67.92857143,96,48.88269583,24,0,0,15,19,11,9,42
3,70.875,17,25.90773333,3,0,14,0,0,0,3,0
1,73.25,14,1.99615,2,0,0,10,0,0,0,4
14,72.8,120,40.35211111,9,0,47,60,10,0,3,0
11,66.625,363,369.666831,42,0,161,45,15,27,19,96
4,69.1,29,20.32158,5,0,18,5,4,2,0,0
1,73.25,10,1.9923,1,0,0,10,0,0,0,0
13,66.64285714,75,64.214375,16,0,32,0,6,28,0,9
11,66.625,363,369.666831,42,0,161,45,15,27,19,96
31,66.46875,110,54.8616625,32,1,18,15,11,39,8,18
18,65.76315789,123,63.61507742,31,1,18,15,21,31,9,28
19,67.525,41,18.88423846,13,0,13,5,9,8,2,4
30,66.5,84,64.223725,24,0,18,15,15,23,5,8
31,66.546875,93,55.91573929,28,0,18,15,15,27,5,13
13,71.42857143,112,33.28728571,7,30,71,11,0,0,0,0
30,66.41935484,81,42.39203462,26,0,18,0,15,32,5,11
8,70.72222222,22,13.67856667,6,0,14,0,0,0,3,5
14,66.36666667,366,377.783531,42,1,161,60,15,27,9,93
20,65.85714286,437,157.0323197,71,0,0,158,1,17,54,207
31,66.328125,105,54.15282581,31,0,18,15,11,39,8,14
