电影名,评分,评分人数,想看人数,物料播放量,总票房,首周票房,首日票房
速度与激情8,9.3,1838000 ,321000 ,44240000 ,2671055000,1352025000,417072000
欢乐好声音,9.2,147000 ,17000 ,,215688000,83093000,14811000
银河护卫队2,9.1,473000 ,155000 ,,686112000,342809000,98608000
帕丁顿熊2,9.1,186000 ,40000 ,6940000 ,206472000,104590000,26246000
理查大冒险,9.1,1828 ,851 ,,2342000,1464000,183000
蓝精灵：寻找神秘村,9,125000 ,105000 ,,173917000,77587000,14062000
天梯：蔡国强的艺术,9,1046 ,2227 ,3700000 ,2102000,485000,127000
加勒比海盗5：死无对证,8.9,805000 ,519000 ,,1179902000,468800000,133209000
雷神3：诸神黄昏,8.9,499000 ,218000 ,11450000 ,743708000,362690000,105996000
王牌保镖,8.9,141000 ,23000 ,,139789000,90205000,26165000
神偷奶爸3,8.8,713000 ,251000 ,,1037808000,444149000,137809000
赛车总动员3：极速挑战,8.8,98000 ,62000 ,,137111000,72134000,19937000
我是马布里,8.8,11000 ,30000 ,,8899000,5572000,2416000
海边的曼彻斯特,8.8,6479 ,18000 ,,8181000,2695000,762000
至暗时刻,8.8,24000 ,5423 ,960000 ,37316000,14082000,2719000
王牌特工2：黄金圈,8.7,312000 ,244000 ,,474270000,263699000,78312000
极限特工：终极回归,8.7,695000 ,132000 ,,1125169000,434323000,143136000
全球风暴,8.7,305000 ,92000 ,,434030000,226095000,65054000
雄狮,8.7,14000 ,9868 ,,17168000,9681000,2034000
勇往直前,8.7,8780 ,5732 ,520000 ,9038000,5742000,2481000
正义联盟,8.6,443000 ,176000 ,15040000 ,690584000,345326000,100760000
神奇女侠,8.6,429000 ,123000 ,,610096000,263673000,74017000
金刚狼3：殊死一战,8.6,491000 ,86000 ,,730084000,341604000,103353000
爱乐之城,8.6,177000 ,37000 ,,247251000,159693000,71364000
银河守卫队,8.6,1894 ,6677 ,,2571000,1032000,227000
生化危机：终章,8.5,779000 ,251000 ,,1109490000,654169000,213307000
太空旅客,8.5,185000 ,44000 ,,313854000,128451000,39148000
魔弦传说,8.5,27000 ,14000 ,70000 ,43745000,22124000,7150000
乐高蝙蝠侠大电影,8.5,23000 ,13000 ,,41994000,24554000,3915000
单身日记：好孕来袭,8.5,3512 ,3977 ,,5501000,1691000,1668000
双面劫匪,8.4,2945 ,2006 ,120000 ,3249000,2416000,1138000
金刚：骷髅岛,8.3,729000 ,85000 ,,1158914000,501057000,150640000
荡寇风云,8.3,63000 ,26000 ,,65121000,28647000,14972000
回到火星,8.3,15000 ,11000 ,,9628000,7657000,3745000
恐袭波士顿,8.3,17000 ,6226 ,850000 ,21088000,13139000,3387000
玩命直播,8.3,14000 ,2328 ,,12944000,7843000,1954000
猩球崛起3：终极之战,8.2,520000 ,414000 ,,740495000,403364000,123902000
美女与野兽,8.2,350000 ,94000 ,,590299000,310078000,83720000
东方快车谋杀案,8.2,166000 ,72000 ,3690000 ,230222000,127057000,32885000
刺杀盖世太保,8.2,3061 ,4458 ,290000 ,3928000,2805000,1254000
敦刻尔克,8.1,239000 ,155000 ,,339900000,198239000,57536000
星球大战外传：侠盗一号,8,264000 ,100000 ,,477186000,224386000,71667000
亚瑟王：斗兽争霸,8,40000 ,27000 ,,57063000,36860000,11774000
天才捕手,8,10000 ,21000 ,,14729000,9483000,3495000
极盗车神,7.8,111000 ,64000 ,,108832000,64833000,24960000
攻壳机动队,7.8,138000 ,57000 ,,202480000,148517000,49656000
降临,7.8,70000 ,16000 ,,108948000,54527000,19571000
异星觉醒,7.7,107000 ,38000 ,,135793000,91024000,25146000
最终幻想15：王者之剑,7.7,32000 ,27000 ,,28725000,20995000,7645000
惊天解密,7.7,4496 ,3266 ,,3874000,2490000,851000
当怪物来敲门,7.6,10000 ,16000 ,,14552000,10865000,2570000
变形金刚5：最后的骑士,7.5,992000 ,533000 ,,1551233000,871827000,289593000
银翼杀手2049,7.3,75000 ,34000 ,,76958000,50681000,16076000
新木乃伊,7.1,443000 ,123000 ,,625595000,359704000,120039000
鲨海,7.1,30000 ,18000 ,3870000 ,38725000,27391000,10928000
异形：契约,6.9,302000 ,142000 ,,311164000,199515000,69994000
空难余波,6.6,786 ,4414 ,150000 ,971000,678000,275000
迷失Z城,6.4,10000 ,8713 ,,7035000,4591000,1839000
末日重启,5.4,1095 ,3055 ,270000 ,1149000,847000,403000
深宫怨灵,4.4,7315 ,5465 ,660000 ,3703000,2322000,1047000
疯狂动物城,9.5,1340000 ,53000 ,,1527705000,155172000,22426000
血战钢锯岭,9.3,391000 ,32000 ,,425779000,117615000,17542000
海洋奇缘,9.1,175000 ,43000 ,,226665000,85455000,13316000
鼠来宝4：萌在囧途,9,91000 ,45000 ,,62560000,36935000,7268000
我们诞生在中国,9,45000 ,13000 ,16740000 ,66516000,15017000,2933000
魔发精灵,9,42000 ,8731 ,,54662000,32518000,4443000
X战警：天启,8.9,716000 ,560000 ,,800803000,384897000,111429000
奇异博士,8.9,569000 ,205000 ,,750127000,299792000,81435000
神奇动物在哪里,8.9,412000 ,131000 ,140000000 ,590808000,283087000,74797000
奇幻森林,8.9,794000 ,123000 ,,976696000,318115000,78037000
逗鸟外传：萌宝满天飞,8.9,71000 ,7877 ,,77616000,34806000,4893000
萨利机长,8.8,43000 ,21000 ,,62150000,38001000,10957000
飞鹰艾迪,8.8,7141 ,4891 ,,6686000,2718000,712000
机械师2：复活,8.7,284000 ,151000 ,,338388000,166299000,51648000
冰川时代5：星际碰撞,8.7,335000 ,132000 ,,446594000,285048000,55274000
愤怒的小鸟,8.7,462000 ,123000 ,,512972000,197412000,53500000
美国队长3,8.6,1040000 ,568000 ,,1243965000,626848000,180842000
忍者神龟2：破影而出,8.6,320000 ,285000 ,,392634000,170116000,90906000
星际迷航3：超越星辰,8.6,324000 ,222000 ,,440207000,206482000,62297000
佩小姐的奇幻城堡,8.6,90000 ,103000 ,,118157000,69375000,19132000
摇滚藏獒,8.6,19000 ,20000 ,,39536000,24619000,3516000
铁拳,8.6,12000 ,16000 ,,7856000,4853000,1498000
惊天魔盗团2,8.5,551000 ,514000 ,,637680000,287769000,88548000
绝地逃亡,8.5,667000 ,276000 ,,887581000,406344000,98227000
爱丽丝梦游仙境2：镜中奇遇记,8.5,344000 ,249000 ,,386245000,176996000,47471000
海底总动员2：多莉去哪儿,8.5,202000 ,145000 ,,253686000,119602000,24765000
荒野猎人,8.5,367000 ,126000 ,,376730000,208792000,63830000
伦敦陷落,8.5,271000 ,86000 ,,339094000,159428000,47354000
神战：权力之眼,8.5,206000 ,61000 ,,234956000,130202000,40509000
泰山归来：险战丛林,8.5,224000 ,57000 ,,305375000,183044000,45555000
长城,8.4,899000 ,242000 ,,1173005000,471251000,123467000
独立日：卷土重来,8.4,376000 ,165000 ,,502169000,239937000,71453000
圆梦巨人,8.4,102000 ,28000 ,,143020000,91219000,21875000
谍影重重5,8.3,291000 ,105000 ,,446476000,327950000,74617000
最后的巫师猎人,8.3,225000 ,61000 ,,179623000,62118000,17829000
间谍同盟,8.3,48000 ,43000 ,,30251000,24707000,9629000
比利·林恩的中场战事,8.3,88000 ,34000 ,,164916000,80669000,25385000
深海浩劫,8.3,57000 ,26000 ,2330000 ,72572000,54393000,11190000
谍影特工,8.3,30000 ,17000 ,,29509000,15731000,4213000
鲨滩,8.3,86000 ,16000 ,,101573000,56581000,15400000
星球大战：原力觉醒,8.2,775000 ,291000 ,,810585000,347662000,196156000
云中行走,8.2,82000 ,59000 ,,90695000,44584000,13032000
地心营救,8.2,23000 ,25000 ,,23416000,13938000,4023000
超脑48小时,8.2,105000 ,18000 ,,103353000,51883000,14949000
巴黎危机,8.2,13000 ,4116 ,,14458000,11849000,2300000
但丁密码,8.1,92000 ,54000 ,,134029000,85315000,24226000
侠探杰克：永不回头,8.1,51000 ,36000 ,,60999000,37750000,11069000
超能太阳鸭,8.1,20000 ,7676 ,2670000 ,20032000,15360000,4072000
蝙蝠侠大战超人：正义黎明,8,422000 ,342000 ,,618205000,372456000,120596000
分歧者3：忠诚世界,8,124000 ,59000 ,,121898000,64754000,24726000
邻家大贱谍,8,8902 ,23000 ,,11934000,11009000,3358000
幻体：续命游戏,8,28000 ,20000 ,,35565000,26547000,8134000
魔法老师,8,10000 ,8617 ,,8289000,6603000,2073000
